Person,Nationality,Rate,Availability,Certification,Language
1.0,EU," $300,00 ", Q1 ,2.0,E
2.0,Non-EU," $700,00 ", Q2 ,1.0,F
3.0,EU," $830,00 ", Q2 ,3.0,G
4.0,EU," $760,00 ", Q3 ,3.0,F
5.0,EU," $840,00 ", Q4 ,4.0,G
6.0,EU," $1.200,00 ", Q1 ,5.0,E
7.0,Non-EU," $1.100,00 ", Q3 ,5.0,O
8.0,Non-EU," $930,00 ", Q4 ,5.0,O
9.0,Non-EU," $500,00 ", Q3 ,4.0,O
10.0,EU," $535,00 ", Q2 ,1.0,E
11.0,Non-EU," $600,00 ", Q1 ,2.0,O
12.0,Non-EU," $725,00 ", Q2 ,3.0,O
13.0,Non-EU," $600,00 ", Q3 ,3.0,O
14.0,EU," $620,00 ", Q1 ,4.0,G
15.0,EU," $300,00 ", Q3 ,5.0,G
16.0,EU," $700,00 ", Q4 ,5.0,F
17.0,EU," $830,00 ", Q4 ,5.0,E
18.0,EU," $760,00 ", Q4 ,4.0,E
19.0,Non-EU," $840,00 ", Q2 ,3.0,O
20.0,EU," $1.200,00 ", Q1 ,2.0,E
21.0,Non-EU," $1.100,00 ", Q2 ,3.0,O
22.0,EU," $930,00 ", Q3 ,3.0,E
23.0,EU," $500,00 ", Q3 ,3.0,E
24.0,EU," $535,00 ", Q2 ,5.0,F
25.0,EU," $840,00 ", Q3 ,4.0,G
26.0,Non-EU," $1.200,00 ", Q1 ,5.0,O
27.0,Non-EU," $1.100,00 ", Q3 ,2.0,O
28.0,EU," $930,00 ", Q4 ,5.0,E
29.0,Non-EU," $500,00 ", Q2 ,5.0,O
30.0,Non-EU," $535,00 ", Q4 ,5.0,O
31.0,EU," $600,00 ", Q1 ,4.0,G
32.0,EU," $725,00 ", Q2 ,1.0,G
33.0,EU," $600,00 ", Q3 ,2.0,O
34.0,Non-EU," $620,00 ", Q1 ,2.0,O
35.0,EU," $300,00 ", Q1 ,2.0,O
36.0,EU," $700,00 ", Q1 ,3.0,G
37.0,EU," $830,00 ", Q1 ,3.0,G
38.0,EU," $760,00 ", Q2 ,4.0,F
39.0,EU," $840,00 ", Q3 ,5.0,E
40.0,Non-EU," $1.200,00 ", Q2 ,5.0,E
41.0,EU," $600,00 ", Q4 ,5.0,O
42.0,EU," $620,00 ", Q4 ,4.0,E
43.0,Non-EU," $300,00 ", Q4 ,3.0,O
44.0,Non-EU," $700,00 ", Q4 ,2.0,O
45.0,Non-EU," $830,00 ", Q2 ,3.0,O
46.0,EU," $760,00 ", Q1 ,3.0,O
47.0,EU," $840,00 ", Q2 ,3.0,O
48.0,EU," $120,00 ", Q3 ,4.0,G
49.0,EU," $1.100,00 ", Q1 ,2.0,G
50.0,EU," $930,00 ", Q3 ,3.0,O
51.0,Non-EU," $500,00 ", Q4 ,4.0,G
52.0,EU," $535,00 ", Q3 ,2.0,O
53.0,Non-EU," $288,00 ", Q2 ,2.0,O
54.0,EU," $330,00 ", Q1 ,5.0,G
55.0,EU," $410,00 ", Q2 ,4.0,F
56.0,EU," $400,00 ", Q3 ,2.0,E
57.0,EU," $300,00 ", Q1 ,3.0,E
58.0,Non-EU," $400,00 ", Q3 ,4.0,O
59.0,Non-EU," $510,00 ", Q4 ,5.0,O
60.0,EU," $520,00 ", Q4 ,1.0,G
,,,,,
,,,,,
,,,,,
,,,,,
